"key","EN","FR"
"title_field","Patrimoine","Patrimoine"
"subtitle_field","subtitle","sous-titre"
"language_button_field","language","langue"
"test_text_menu","this is a test","Ceci est un test"
"tutorial_key","tutorial","tutoriel"
"TN_1","Narbonnaises Tower","Tour Narbonnaises"
"TN_2","Function : The Narbonnaises Towers are the main entrance of the city, they are very big and imposing. They are also used as a defense system for the city with for example their beaks which makes it possible to deflect the projectiles.","Fonction : Les tours narbonnaises sont l'entrée principale de la ville, elles sont très grandes et imposantes. Elles servent aussi de défense pour la ville avec par exemple leurs becs qui permettent de dévier les projectiles."
"TN_3","History: Their name comes from its orientation towards Narbonne and they were built in the 13th century.","Histoire : Son nom vient de son orientation vers Narbonne, ils ont été construits au 13ème siècle."
"TN_4","A statue of a virgin from the 14th century mutilated during the revolution is placed above the entrance.","Une statue d'une vierge du 14ème siècle mutilée pendant la révolution est placée au-dessus de l'entrée."
"PA_1","Door of aude","Porte d'aude"
"PA_2","The gate of aude is a door outside the city which allows one to enter the city, the passage to arrive at the gate of aude is very narrow, that was first a means of defense against an attack, even if at present it is one of the most used entrances.","Fonction : La porte d'aude est une porte extérieure à la ville qui permet d'entrer dans la ville, le passage pour arriver à la porte d'aude est très étroit, c'était un premier moyen de défense contre une attaque, même si à l'heure actuelle c'est l'une des entrées les plus utilisées."
"PA_3","History:Its name comes from the fact that it is in front of the river of aude, it was built in the 12th century.","Histoire :Son nom vient du fait qu'elle se trouve en face de la rivière d'aude, elle a été construite au 12ème siècle."
"PA_4","Bonus : For its very medieval side, many movies have been filmed there.","Bonus : Pour son côté très médiéval, de nombreux films ont été tournés ici."
"TR_1","Roman Tower","Tour romaine "
"TR_2","The Roman towers are vestiges of the city present since about the 3rd century, it reminds us that Carcassonne was once a great Roman city known to be an important trade route.","Les tours romaines sont des vestiges de la ville présents depuis environ le 3ème siècle, elles nous rappellent que Carcassonne était autrefois une grande cité romaine connue pour être un grand carrefour d'échanges."
